,UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,id
15,16,20,Female,Philippines,$62821.000,True,True,Students,Ural,youtube,66,12.0.0,5939,Entertainment,5.0,2340.0.0,7,10.0.0,11.0,44:,Evening,6.0.0,4,Entertainment,Smartphone,MacOS,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,16
16,17,39,Female,Meico,$33493.000,False,False,Waiting staff,Ural,facebook,102,12.0.0,8000,ASMR,21.0,9795.0.0,5,18.0.0,15.0,48:,Afternoon,5.0.0,5,Habit,Smartphone,iOS,5:00 PM,7.0.0,3.0.0,Athome,Wi-Fi,17
17,18,19,Female,Brazil,$37069.000,False,False,students,Ural,facebook,28,11.0.0,7220,ASMR,22.0,5289.0.0,2,9.0.0,29.0,52:,Evening,6.0.0,4,Habit,Smartphone,Windows,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,18
18,19,41,Other,Japan,$27531.000,False,False,Labor/worker,Ural,facebook,202,8.0.0,5329,Pranks,10.0,597.0.0,4,1.0.0,45.0,8:,Evening,6.0.0,4,Entertainment,Smartphone,iOS,2:00 PM,8.0.0,2.0.0,Atwork,Mobile-Data,19
19,20,61,Male,United States,$57051.000,True,True,Labor/worker,Rban,instagram,246,7.0.0,3622,Vlogs,23.0,8836.0.0,2,13.0.0,4.0,55:,Morning,8.0.0,2,Habit,Smartphone,MacOS,8:00 AM,10.0.0,0.0.0,Atwork,Mobile-Data,20
20,21,47,Male,India,$27736.000,False,False,Waiting staff,Ural,youtube,286,2.0.0,3684,Vlogs,13.0,7145.0.0,3,18.0.0,49.0,66:,Afternoon,5.0.0,5,Habit,Tablet,iOS,5:00 PM,7.0.0,3.0.0,Commuting,Mobile-Data,21
21,22,55,Male,Brazil,$27710.000,False,False,Driver,Ural,facebook,236,11.0.0,7873,Entertainment,29.0,2902.0.0,3,15.0.0,36.0,77:,Afternoon,5.0.0,5,Boredom,Computer,Android,5:00 PM,7.0.0,3.0.0,Commuting,Mobile-Data,22
22,23,19,Female,Pakistan,$87155.000,True,False,Students,Ural,instagram,242,10.0.0,5311,Entertainment,26.0,6645.0.0,4,2.0.0,48.0,40:,Night,3.0.0,7,Boredom,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Atwork,Mobile-Data,23
23,24,38,Female,India,$33975.000,False,False,Waiting staff,Rban,facebook,49,3.0.0,653,Pranks,14.0,8955.0.0,6,11.0.0,23.0,85:,Evening,6.0.0,4,Habit,Smartphone,iOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,24
24,25,50,Male,Germany,$82424.000,True,True,waiting staff,Ural,tiktok,162,10.0.0,5800,Jokes/Memes,7.0,7694.0.0,3,29.0.0,15.0,31:,Evening,6.0.0,4,Boredom,Smartphone,Android,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,25
25,26,29,Male,Japan,$65603.000,True,False,Labor/worker,Rban,tiktok,136,18.0.0,8813,Jokes/Memes,29.0,4830.0.0,1,14.0.0,46.0,48:,Afternoon,5.0.0,5,Entertainment,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Wi-Fi,26
26,27,39,Male,Japan,$43252.000,False,True,students,Ural,youtube,246,14.0.0,3791,Gming,20.0,7546.0.0,1,22.0.0,44.0,61:,Evening,6.0.0,4,Habit,Smartphone,Android,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,27
27,28,61,Other,Vietnam,$21431.000,False,False,manager,Rban,instagram,64,18.0.0,1646,Life Hacks,6.0,7368.0.0,9,15.0.0,3.0,52:,Night,3.0.0,7,Habit,Smartphone,iOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,28
28,29,42,Female,India,$94603.000,True,True,labor/worker,Ural,tiktok,181,8.0.0,4513,Entertainment,7.0,9834.0.0,9,14.0.0,32.0,38:,Evening,6.0.0,4,Boredom,Smartphone,MacOS,2:00 PM,8.0.0,2.0.0,Atwork,Mobile-Data,29
29,30,44,Male,India,$57481.000,True,False,driver,Rban,tiktok,118,10.0.0,4760,Pranks,5.0,2160.0.0,5,16.0.0,10.0,91:,Evening,6.0.0,4,Entertainment,Smartphone,Android,2:00 PM,8.0.0,2.0.0,Athome,Wi-Fi,30
30,31,59,Male,United States,$29557.000,False,True,driver,Ural,instagram,193,13.0.0,5875,Pranks,21.0,5878.0.0,9,23.0.0,40.0,36:,Morning,8.0.0,2,Habit,Smartphone,iOS,8:00 AM,10.0.0,0.0.0,Atschool,Wi-Fi,31
31,32,45,Male,United States,$94971.000,True,False,Students,Ural,facebook,207,8.0.0,3689,Jokes/Memes,18.0,7663.0.0,7,29.0.0,38.0,87:,Afternoon,5.0.0,5,Habit,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,32
32,33,33,Male,India,$20162.000,False,True,Labor/worker,Ural,instagram,96,4.0.0,7690,Trends,23.0,3749.0.0,9,15.0.0,22.0,55:,Night,3.0.0,7,Boredom,Tablet,iOS,9:00 PM,5.0.0,5.0.0,Commuting,Mobile-Data,33
33,34,32,Other,Meico,$54742.000,True,False,waiting staff,Ural,facebook,210,4.0.0,1380,Trends,12.0,2922.0.0,7,19.0.0,14.0,85:,Evening,6.0.0,4,Entertainment,Smartphone,Android,2:00 PM,8.0.0,2.0.0,Atwork,Mobile-Data,34
34,35,64,Female,Vietnam,$39675.000,False,True,Students,Ural,tiktok,284,5.0.0,4244,Entertainment,6.0,6486.0.0,9,27.0.0,17.0,13:,Evening,6.0.0,4,Entertainment,Tablet,iOS,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,35
35,36,61,Other,Meico,$93997.000,True,False,Students,Rban,tiktok,220,1.0.0,9581,Jokes/Memes,27.0,8112.0.0,2,9.0.0,21.0,37:,Night,3.0.0,7,Procrastination,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,36
36,37,20,Male,United States,$37015.000,False,True,Labor/worker,Ural,tiktok,127,17.0.0,6508,Entertainment,1.0,8771.0.0,8,5.0.0,48.0,47:,Night,3.0.0,7,Entertainment,Tablet,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,37
37,38,40,Male,Philippines,$70057.000,True,False,students,Rban,youtube,200,2.0.0,7820,Jokes/Memes,4.0,3804.0.0,7,5.0.0,15.0,90:,Afternoon,5.0.0,5,Boredom,Smartphone,iOS,5:00 PM,7.0.0,3.0.0,Atschool,Wi-Fi,38
38,39,24,Male,Brazil,$52591.000,True,True,cashier,Ural,youtube,51,8.0.0,8594,Jokes/Memes,19.0,4878.0.0,6,11.0.0,15.0,71:,Night,3.0.0,7,Habit,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,39
39,40,38,Male,Germany,$29833.000,False,False,Students,Ural,youtube,51,7.0.0,2654,ASMR,12.0,2368.0.0,5,28.0.0,1.0,22:,Afternoon,5.0.0,5,Boredom,Tablet,Android,5:00 PM,7.0.0,3.0.0,Commuting,Mobile-Data,40
40,41,26,Male,Pakistan,$27896.000,False,True,Waiting staff,Rban,instagram,285,15.0.0,5612,Comedy,15.0,8093.0.0,4,20.0.0,24.0,39:,Evening,6.0.0,4,Boredom,Smartphone,Android,2:00 PM,8.0.0,2.0.0,Atwork,Mobile-Data,41
41,42,56,Male,India,$52972.000,True,False,students,Rban,tiktok,26,5.0.0,6128,ASMR,3.0,3932.0.0,7,25.0.0,12.0,87:,Evening,6.0.0,4,Habit,Smartphone,Android,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,42
42,43,35,Other,Indonesia,$69733.000,True,True,cashier,Ural,tiktok,292,2.0.0,3924,Life Hacks,23.0,5608.0.0,3,24.0.0,10.0,58:,Morning,8.0.0,2,Entertainment,Tablet,MacOS,8:00 AM,10.0.0,0.0.0,Athome,Mobile-Data,43
43,44,21,Female,Pakistan,$61800.000,True,False,Waiting staff,Ural,instagram,267,7.0.0,8460,Gming,27.0,6635.0.0,8,28.0.0,46.0,30:,Night,3.0.0,7,Entertainment,Tablet,Windows,9:00 PM,5.0.0,5.0.0,Atschool,Mobile-Data,44
44,45,42,Other,Philippines,$25347.000,False,True,labor/worker,Rban,youtube,72,8.0.0,5913,Gming,28.0,6395.0.0,2,4.0.0,42.0,18:,Evening,6.0.0,4,Boredom,Smartphone,iOS,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,45
45,46,31,Female,Pakistan,$79063.000,True,False,Waiting staff,Ural,instagram,71,7.0.0,5131,Comedy,26.0,6101.0.0,1,20.0.0,42.0,18:,Evening,6.0.0,4,Procrastination,Smartphone,Windows,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,46
46,47,26,Male,Vietnam,$22643.000,False,True,Labor/worker,Ural,youtube,109,7.0.0,5440,Trends,20.0,9292.0.0,2,18.0.0,31.0,74:,Afternoon,5.0.0,5,Procrastination,Smartphone,MacOS,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,47
47,48,43,Male,Japan,$60785.000,True,True,Students,Ural,tiktok,28,14.0.0,7881,Pranks,28.0,9862.0.0,9,25.0.0,11.0,39:,Night,3.0.0,7,Entertainment,Tablet,Android,9:00 PM,5.0.0,5.0.0,Atwork,Mobile-Data,48
48,49,19,Female,India,$38681.000,False,True,Students,Ural,facebook,26,18.0.0,6450,Trends,8.0,5531.0.0,5,3.0.0,16.0,94:,Evening,6.0.0,4,Boredom,Tablet,Android,2:00 PM,8.0.0,2.0.0,Atschool,Wi-Fi,49
49,50,37,Male,United States,$70026.000,True,True,Students,Rban,youtube,255,6.0.0,1726,Life Hacks,11.0,4970.0.0,8,4.0.0,9.0,26:,Afternoon,5.0.0,5,Procrastination,Smartphone,iOS,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,50
50,51,45,Female,United States,$35892.000,False,False,waiting staff,Ural,tiktok,260,4.0.0,9305,Entertainment,16.0,6344.0.0,3,14.0.0,47.0,71:,Afternoon,5.0.0,5,Entertainment,Tablet,Windows,5:00 PM,7.0.0,3.0.0,Athome,Wi-Fi,51
51,52,64,Other,Meico,$67299.000,True,True,Driver,Ural,tiktok,90,10.0.0,7523,Entertainment,9.0,8408.0.0,7,7.0.0,14.0,7:,Evening,6.0.0,4,Entertainment,Tablet,iOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,52
52,53,24,Male,Germany,$37073.000,False,False,students,Ural,facebook,48,18.0.0,4785,Pranks,3.0,375.0.0,2,26.0.0,19.0,69:,Evening,6.0.0,4,Boredom,Tablet,MacOS,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,53
53,54,61,Male,Vietnam,$50682.000,True,False,Driver,Ural,tiktok,45,12.0.0,9473,Trends,5.0,7887.0.0,8,8.0.0,31.0,65:,Afternoon,5.0.0,5,Procrastination,Computer,Android,5:00 PM,7.0.0,3.0.0,Atwork,Mobile-Data,54
54,55,25,Other,India,$34289.000,False,False,cashier,Ural,tiktok,206,16.0.0,1233,Life Hacks,20.0,1609.0.0,7,24.0.0,9.0,46:,Evening,6.0.0,4,Habit,Smartphone,iOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,55
55,56,64,Male,Japan,$27927.000,False,False,Manager,Ural,youtube,167,7.0.0,8809,Life Hacks,14.0,2939.0.0,5,16.0.0,36.0,18:,Night,3.0.0,7,Boredom,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,56
56,57,52,Male,Indonesia,$68330.000,True,False,Labor/worker,Ural,youtube,213,6.0.0,8339,Jokes/Memes,28.0,4062.0.0,4,20.0.0,39.0,13:,Afternoon,5.0.0,5,Entertainment,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,57
57,58,31,Male,United States,$86707.000,True,True,waiting staff,Ural,facebook,205,5.0.0,7447,Entertainment,26.0,1613.0.0,1,15.0.0,26.0,25:,Afternoon,5.0.0,5,Habit,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,58
58,59,34,Male,Vietnam,$97454.000,True,False,waiting staff,Ural,facebook,225,3.0.0,4617,Vlogs,15.0,6578.0.0,5,7.0.0,8.0,8:,Night,3.0.0,7,Entertainment,Tablet,Android,9:00 PM,5.0.0,5.0.0,Atschool,Mobile-Data,59
59,60,53,Male,Japan,$85428.000,True,False,Driver,Rban,tiktok,294,12.0.0,4726,Life Hacks,6.0,7851.0.0,9,26.0.0,24.0,74:,Night,3.0.0,7,Habit,Smartphone,iOS,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,60
60,61,57,Female,Germany,$70601.000,True,True,driver,Ural,youtube,205,15.0.0,3678,Entertainment,27.0,3679.0.0,4,17.0.0,8.0,32:,Afternoon,5.0.0,5,Entertainment,Smartphone,iOS,5:00 PM,7.0.0,3.0.0,Athome,Wi-Fi,61
61,62,21,Other,United States,$97465.000,True,True,waiting staff,Rban,facebook,161,10.0.0,6288,Jokes/Memes,26.0,7540.0.0,9,22.0.0,19.0,17:,Afternoon,5.0.0,5,Procrastination,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Commuting,Wi-Fi,62
62,63,19,Male,United States,$22539.000,False,True,Waiting staff,Ural,facebook,23,19.0.0,8481,Entertainment,4.0,9488.0.0,2,22.0.0,47.0,79:,Evening,6.0.0,4,Habit,Computer,Android,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,63
63,64,23,Male,Vietnam,$42669.000,False,False,students,Ural,instagram,155,16.0.0,1410,ASMR,8.0,7074.0.0,4,22.0.0,48.0,79:,Evening,6.0.0,4,Boredom,Computer,iOS,2:00 PM,8.0.0,2.0.0,Commuting,Wi-Fi,64
64,65,59,Male,United States,$90968.000,True,False,Teacher,Ural,facebook,66,11.0.0,8206,Life Hacks,19.0,3996.0.0,9,12.0.0,30.0,48:,Afternoon,5.0.0,5,Entertainment,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,65
65,66,21,Other,India,$40644.000,False,False,teacher,Ural,tiktok,220,8.0.0,257,Life Hacks,27.0,4786.0.0,4,18.0.0,22.0,63:,Afternoon,5.0.0,5,Habit,Smartphone,MacOS,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,66
66,67,46,Other,India,$38745.000,False,True,Cashier,Ural,youtube,277,3.0.0,1722,Gming,5.0,5695.0.0,5,24.0.0,9.0,40:,Evening,6.0.0,4,Boredom,Smartphone,Android,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,67
67,68,35,Male,Meico,$48228.000,False,False,Students,Ural,facebook,219,7.0.0,1424,Trends,13.0,9347.0.0,8,14.0.0,44.0,84:,Evening,6.0.0,4,Boredom,Smartphone,MacOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,68
68,69,43,Male,Vietnam,$54521.000,True,False,artist,Ural,instagram,26,7.0.0,4954,Life Hacks,16.0,6998.0.0,1,15.0.0,48.0,15:,Night,3.0.0,7,Habit,Smartphone,MacOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,69
69,70,61,Female,Meico,$46928.000,False,False,Students,Ural,youtube,295,14.0.0,2991,Gming,1.0,2366.0.0,1,15.0.0,4.0,99:,Evening,6.0.0,4,Habit,Computer,Android,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,70
70,71,51,Female,Vietnam,$38322.000,False,False,students,Ural,facebook,212,2.0.0,1196,Pranks,13.0,6764.0.0,9,5.0.0,37.0,6:,Afternoon,5.0.0,5,Entertainment,Tablet,iOS,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,71
71,72,27,Male,Indonesia,$77714.000,True,True,labor/worker,Rban,instagram,108,10.0.0,4560,Life Hacks,22.0,8976.0.0,9,16.0.0,8.0,94:,Night,3.0.0,7,Boredom,Smartphone,Windows,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,72
72,73,53,Male,Vietnam,$82292.000,True,False,engineer,Ural,facebook,288,19.0.0,4366,Comedy,11.0,9273.0.0,4,5.0.0,1.0,63:,Evening,6.0.0,4,Entertainment,Computer,Windows,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,73
73,74,31,Female,Germany,$49055.000,False,True,Waiting staff,Rban,youtube,218,9.0.0,1245,Jokes/Memes,21.0,1614.0.0,2,2.0.0,28.0,8:,Night,3.0.0,7,Boredom,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,74
74,75,48,Other,Philippines,$62891.000,True,False,Driver,Ural,youtube,138,16.0.0,6767,Jokes/Memes,8.0,4555.0.0,9,20.0.0,6.0,95:,Night,3.0.0,7,Procrastination,Computer,MacOS,9:00 PM,5.0.0,5.0.0,Atschool,Mobile-Data,75
75,76,32,Male,United States,$26588.000,False,True,Labor/worker,Ural,youtube,297,19.0.0,5303,Jokes/Memes,25.0,2416.0.0,4,28.0.0,47.0,32:,Night,3.0.0,7,Habit,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,76
76,77,25,Female,India,$26304.000,False,False,driver,Ural,tiktok,261,18.0.0,1307,Pranks,8.0,7288.0.0,6,25.0.0,36.0,45:,Night,3.0.0,7,Procrastination,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Commuting,Wi-Fi,77
77,78,31,Male,India,$27345.000,False,True,Labor/worker,Ural,facebook,274,9.0.0,2403,Life Hacks,24.0,6862.0.0,1,9.0.0,11.0,52:,Afternoon,5.0.0,5,Procrastination,Tablet,Android,5:00 PM,7.0.0,3.0.0,Commuting,Mobile-Data,78
78,79,40,Other,Japan,$49300.000,False,False,Labor/worker,Ural,tiktok,280,16.0.0,497,Vlogs,28.0,3653.0.0,9,22.0.0,5.0,79:,Evening,6.0.0,4,Boredom,Smartphone,iOS,2:00 PM,8.0.0,2.0.0,Atschool,Wi-Fi,79
79,80,57,Male,United States,$44259.000,False,True,Driver,Ural,youtube,197,13.0.0,3400,Jokes/Memes,14.0,6639.0.0,5,27.0.0,24.0,82:,Night,3.0.0,7,Habit,Tablet,Windows,9:00 PM,5.0.0,5.0.0,Atschool,Mobile-Data,80
80,81,38,Male,United States,$35352.000,False,False,Driver,Ural,instagram,223,10.0.0,910,Gming,13.0,496.0.0,3,9.0.0,47.0,13:,Evening,6.0.0,4,Habit,Smartphone,Android,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,81
81,82,33,Male,Pakistan,$53365.000,True,True,labor/worker,Rban,facebook,292,14.0.0,373,Jokes/Memes,3.0,504.0.0,4,4.0.0,18.0,24:,Afternoon,5.0.0,5,Entertainment,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,82
82,83,62,Male,Philippines,$39446.000,False,False,Students,Ural,tiktok,220,12.0.0,6237,Pranks,4.0,7699.0.0,1,15.0.0,20.0,40:,Evening,6.0.0,4,Entertainment,Smartphone,MacOS,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,83
83,84,35,Male,India,$22336.000,False,True,Waiting staff,Rban,facebook,85,19.0.0,1345,Entertainment,27.0,5733.0.0,9,11.0.0,28.0,14:,Afternoon,5.0.0,5,Boredom,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Atwork,Mobile-Data,84
84,85,64,Male,Brazil,$82032.000,True,False,labor/worker,Rban,instagram,157,7.0.0,8516,Jokes/Memes,20.0,8055.0.0,8,1.0.0,13.0,92:,Night,3.0.0,7,Boredom,Tablet,iOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,85
85,86,41,Other,India,$95415.000,True,True,Waiting staff,Ural,tiktok,222,15.0.0,2432,Life Hacks,15.0,3216.0.0,4,18.0.0,5.0,75:,Night,3.0.0,7,Entertainment,Smartphone,iOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,86
86,87,43,Female,Indonesia,$27521.000,False,False,engineer,Ural,youtube,118,16.0.0,4671,Trends,15.0,5688.0.0,2,29.0.0,30.0,70:,Night,3.0.0,7,Habit,Computer,iOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,87
87,88,42,Other,United States,$91707.000,True,True,manager,Ural,tiktok,138,8.0.0,2785,Life Hacks,27.0,9600.0.0,9,1.0.0,1.0,62:,Night,3.0.0,7,Entertainment,Computer,MacOS,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,88
88,89,62,Female,United States,$43481.000,False,False,students,Ural,facebook,19,10.0.0,9408,Jokes/Memes,21.0,4364.0.0,4,8.0.0,22.0,89:,Night,3.0.0,7,Boredom,Smartphone,MacOS,9:00 PM,5.0.0,5.0.0,Atwork,Mobile-Data,89
89,90,58,Female,Germany,$38474.000,False,True,Waiting staff,Ural,facebook,56,4.0.0,1696,Jokes/Memes,13.0,6042.0.0,9,25.0.0,18.0,61:,Night,3.0.0,7,Entertainment,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Atschool,Wi-Fi,90
90,91,46,Male,United States,$66760.000,True,False,waiting staff,Ural,facebook,105,19.0.0,1908,Jokes/Memes,9.0,1477.0.0,3,16.0.0,46.0,1:,Afternoon,5.0.0,5,Boredom,Tablet,Android,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,91
91,92,32,Male,India,$75718.000,True,True,students,Ural,facebook,112,19.0.0,4815,Jokes/Memes,28.0,4960.0.0,7,26.0.0,5.0,89:,Night,3.0.0,7,Boredom,Smartphone,iOS,9:00 PM,5.0.0,5.0.0,Commuting,Wi-Fi,92
92,93,62,Female,India,$64629.000,True,False,students,Ural,youtube,155,15.0.0,781,Trends,25.0,2397.0.0,7,28.0.0,31.0,66:,Night,3.0.0,7,Habit,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Atschool,Mobile-Data,93
93,94,18,Male,India,$65232.000,True,True,driver,Ural,tiktok,36,14.0.0,1020,Vlogs,10.0,8301.0.0,4,22.0.0,6.0,32:,Night,3.0.0,7,Boredom,Tablet,iOS,9:00 PM,5.0.0,5.0.0,Atwork,Wi-Fi,94
94,95,42,Other,Vietnam,$87169.000,True,True,Manager,Ural,youtube,229,1.0.0,1404,Life Hacks,29.0,8841.0.0,2,18.0.0,27.0,13:,Evening,6.0.0,4,Habit,Computer,iOS,2:00 PM,8.0.0,2.0.0,Atwork,Wi-Fi,95
95,96,24,Other,Pakistan,$70669.000,True,True,Students,Ural,youtube,27,16.0.0,1427,Jokes/Memes,12.0,6194.0.0,9,22.0.0,25.0,33:,Morning,8.0.0,2,Habit,Smartphone,Android,8:00 AM,10.0.0,0.0.0,Athome,Wi-Fi,96
96,97,26,Male,United States,$98021.000,True,True,Students,Rban,youtube,176,10.0.0,8856,ASMR,14.0,7570.0.0,4,9.0.0,29.0,32:,Evening,6.0.0,4,Boredom,Smartphone,iOS,2:00 PM,8.0.0,2.0.0,Athome,Wi-Fi,97
97,98,41,Female,United States,$89184.000,True,False,Waiting staff,Rban,facebook,91,19.0.0,5869,Jokes/Memes,1.0,7730.0.0,8,12.0.0,28.0,56:,Afternoon,5.0.0,5,Entertainment,Tablet,Android,5:00 PM,7.0.0,3.0.0,Atwork,Mobile-Data,98
